 001  227091064   12 14 18 16  1767 318C4-1 8   2CY 14.3000 18.4000 15.8937               6                        FARGO D250 PICKUP 2WD
 001  227091076   14 16 21 18  1547 318A3-1 8   2LY 15.5596 21.2349 17.6868               6                        B150/B250 VAN 2WD
 001  227091076   14 16 24 19  1547 318M4-2 8   2MY 16.3579 24.4089 19.2091               6                        B150/B250 VAN 2WD
 001  227091078   14 15 20 17  1651 318A3-1 8   2LY 14.8000 20.4000 16.8859               6                        B350 VAN 2WD
 001  228065010   12 14 19 16  1767 318A3-1 8   4LY 14.0483 19.1237 15.9536               6                        D150 PICKUP 2WD
 001  228065010   12 13 20 16  1903 318C4-1 8   4CY 13.2463 20.1078 15.6493               6                        D150 PICKUP 2WD
 001  228065015   12 12 16 14  2062 318A3-1 8   4LY 12.5000 16.3000 13.9650               6                        D250 PICKUP 2WD
 001  228065015   12 12 18 14  2062 318C4-1 8   4CY 11.6000 18.0000 13.8095               6                        D250 PICKUP 2WD
 001  228065030   15 13 17 14  1903 318A3-1 8   4LY 12.7364 16.8958 14.3231               6                        B150/B250 WAGON 2WD
 001  228065035   15 13 17 14  1903 318A3-1 8   4LY 12.7330 16.8905 14.3190               6                        B350 WAGON 2WD
 001  228065045   14 14 19 16  1767 318A3-1 8   4LY 13.7658 18.5901 15.5859               6                        B150/B250 VAN 2WD
 001  228065050   14 12 16 14  2062 318A3-1 8   4LY 12.5000 16.3000 13.9650               6                        B350 VAN 2WD
 001  228091010   15 13 17 14  1903 318A3-1 8   4LY 12.7366 16.8999 14.3246               6                        PB150/PB250 VOYAGER 2WD
 001  228091015   15 13 17 14  1903 318A3-1 8   4LY 12.7313 16.8862 14.3165               6                        PB350 VOYAGER 2WD
 001  228091062   12 14 20 16  1767 318A3-1 8   4LY 14.4000 19.8000 16.4145               6                        FARGO D150 PICKUP 2WD
 001  228091062   12 13 20 16  1903 318C4-1 8   4CY 13.4000 20.3000 15.8197               6                        FARGO D150 PICKUP 2WD
 001  228091064   12 12 16 14  2062 318A3-1 8   4LY 12.5000 16.3000 13.9650               6                        FARGO D250 PICKUP 2WD
 001  228091064   12 12 18 14  2062 318C4-1 8   4CY 11.6000 18.0000 13.8095               6                        FARGO D250 PICKUP 2WD
 001  228091076   14 14 18 16  1767 318A3-1 8   4LY 13.7056 18.4776 15.5079               6                        B150/B250 VAN 2WD
 001  228091078   14 12 16 14  2062 318A3-1 8   4LY 12.5000 16.3000 13.9650               6                        B350 VAN 2WD
 001  228165080   19 11 14 12  2250 318A3-1 8   4AY 11.0000 14.4000 12.3077               6                        D250 PICKUP CAB CHASSIS         (CALIF)
 001  228191090   19 11 14 12  2250 318A3-1 8   4AY 11.0000 14.4000 12.3077               6                        FARGO D250 PICKUP CAB CHASSI    (CALIF)
2001  228265070   17 14 19 15  1767 318A3-1 8   4LY 13.5240 18.7516 15.4640               6                        AD150 RAMCHARGER 2WD
 001  245065020   13 16 20 18  1547 225A3-1 6   1LY 16.2000 19.9000 17.6792               6                        W150 PICKUP 4WD
 001  245065020   13 17 21 19  1455 225C4-1 6   1CY 17.1310 20.8156 18.6137               6                        W150 PICKUP 4WD
 001  245091066   13 16 20 18  1547 225A3-1 6   1LY 16.2000 19.9000 17.6792               6                        FARGO W150 PICKUP 4WD
 001  245091066   13 17 21 19  1455 225C4-1 6   1CY 17.0953 20.7558 18.5690               6                        FARGO W150 PICKUP 4WD
 001  247065020   13 15 20 17  1651 318A3-1 8   2LY 14.5048 20.1053 16.5836               6                        W150 PICKUP 4WD
 001  247065020   13 14 19 16  1767 318C4-1 8   2CY 14.0000 19.1000 15.9119               6                        W150 PICKUP 4WD
 001  247065025   13 15 20 17  1651 318A3-1 8   2LY 14.5048 20.1053 16.5836               6                        W250 PICKUP 4WD
 001  247065025   13 14 19 16  1767 318C4-1 8   2CY 14.0000 19.1000 15.9119               6                        W250 PICKUP 4WD
 001  247065075   18 15 20 17  1651 318A3-1 8   2LY 14.5048 20.1053 16.5836               6                        AW150 RAMCHARGER 4WD
 001  247065075   18 14 19 16  1767 318C4-1 8   2CY 14.0000 19.1000 15.9119               6                        AW150 RAMCHARGER 4WD
 001  247091066   13 15 20 17  1651 318A3-1 8   2LY 14.5048 20.1053 16.5836               6                        FARGO W150 PICKUP 4WD
