1986F 3190MUSTANG                      140FIM5     4860307025809850820 3019015 3360FORD                              20   26   22   22   33   26  $  853( 2.3L) (FFS,TRBO)                    2DR- 84/08          HBK- 84/12  OD RWD R
1986F 3190MUSTANG                      231FIL3     6860307025812850829 3019015 3601FORD                              19   23   21   21   29   24  $  892( 3.8L) (FFS)                         2DR- 84/08          HBK- 84/12     RWD R
1986F 3190MUSTANG                      302FIL4     8860307025814851016 3019015 3708FORD                              17   26   20   19   33   24  $  938( 5.0L) (FFS)                         2DR- 84/08          HBK- 84/12  OD RWD R
1986F 3190MUSTANG                      302FIM5     8860307025814850829 3019015 3705FORD                              17   25   20   19   32   24  $  938( 5.0L) (FFS)                         2DR- 84/08          HBK- 84/12  OD RWD R
1986F 3210ACCORD                       119 2L4     48603070258408508292602102026050HONDA                             24   30   26   26   38   31  $  722( 2.0L) (FFS)                                   4DR- 89/14HBK- 86/19  OD FWD R3LKUP
1986F 3210ACCORD                       119 2M5     48603070258408508292602102026050HONDA                             27   33   29   30   43   34  $  647( 2.0L) (FFS)                                   4DR- 89/14HBK- 86/19  OD FWD R
1986F 3210ACCORD                       119FIL4     48603070258408508292602102026051HONDA                             23   29   26   26   37   30  $  722( 2.0L) (FFS)                                   4DR- 89/14HBK- 86/19  OD FWD R3LKUP
1986F 3210ACCORD                       119FIM5     48603070258408508292602102026051HONDA                             25   30   27   28   39   32  $  694( 2.0L) (FFS)                                   4DR- 89/14HBK- 86/19  OD FWD R
1986F 3210CIVIC                         82 3M4     48603070258388508292602100526010HONDA                             37   43   40   41   55   47  $  469( 1.3L)                                         4DR- 84/12HBK- 70/15  OD FWD R
1986F 3210CIVIC                         91 3L4     48603070258388602112602100526021HONDA                             28   32   29   31   41   34  $  647( 1.5L) (FFS)                                   4DR- 84/12HBK- 70/15  OD FWD R
1986F 3210CIVIC                         91 3M5     48603070258398602112602100526021HONDA                             30   35   32   34   44   38  $  585( 1.5L) (FFS)                                   4DR- 84/12HBK- 70/15  OD FWD R
1986F 3210CIVIC                         91FIM5     48603070258398508292602100526022HONDA                             30   33   31   33   43   37  $  606( 1.5L) (FFS)                                   4DR- 84/12HBK- 70/15  OD FWD R
1986F 3210INTEGRA                       97FIL4     48603070258398603012602103026030HONDA                             25   31   27   27   39   32  $  694( 1.6L) (FFS)                                             HBK- 80/16  OD FWD R
1986F 3210INTEGRA                       97FIM5     48603070258398603012602103026030HONDA                             26   30   28   29   39   32  $  669( 1.6L) (FFS)                                             HBK- 80/16  OD FWD R
1986F 3210PRELUDE                      112 2L4     48603070258398508292602102526040HONDA                             23   30   26   26   38   30  $  722( 1.8L) (FFS)                         2DR- 77/ 9                      OD FWD R
1986F 3210PRELUDE                      112 2M5     48603070258398508292602102526040HONDA                             24   32   27   27   40   32  $  694( 1.8L) (FFS)                         2DR- 77/ 9                      OD FWD R
1986F 3210PRELUDE                      119FIL4     48603070258408508292602102526051HONDA                             23   29   26   26   37   30  $  722( 2.0L) (FFS)                         2DR- 77/ 9                      OD FWD R3LKUP
1986F 3210PRELUDE                      119FIM5     48603070258408508292602102526051HONDA                             25   30   27   28   39   32  $  694( 2.0L) (FFS)                         2DR- 77/ 9                      OD FWD R
1986F 3212PONY EXCEL                    90 2A3     48603070258408602152652121026510HYUNDAI MOTOR COMPANY             27   28   27   30   36   32  $  694( 1.5L) (FFS)                                   4DR- 82/11HBK- 82/13     FWD R
1986F 3212PONY EXCEL                    90 2M4     48603070258408602152652121026510HYUNDAI MOTOR COMPANY             28   31   29   31   39   34  $  647( 1.5L) (FFS)                                   4DR- 82/11HBK- 82/13     FWD R
1986F 3212PONY EXCEL                    90 2M5     48603070258408602152652121026510HYUNDAI MOTOR COMPANY             29   34   31   32   44   37  $  606( 1.5L) (FFS)                                   4DR- 82/11HBK- 82/13  OD FWD R
1986F 3215I-MARK                        90 2A3     48603070258408511092902153029010ISUZU MOTORS LIMITED              31   34   33   35   44   39  $  568( 1.5L) (FFS)                                   4DR- 85/11HBK- 85/17     FWD R
