CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,INDEX NUMB,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS,5C CODE
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Auto(S4),F,26,19,26,22,24.2184,36.27,28.4763,R,,,,76,5,,,,,1911,SOHC,2MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3.8,6,Manual(M6),F,27,16,25,19,19.9155,34.5579,24.6073,P,,,,76,5,,,,,2367,SOHC,,4,2,DERIVED
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,3.8,6,Auto(S5),F,27,16,24,19,20.2127,33.3961,24.5789,P,,,,76,5,,,,,2367,SOHC,2MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Auto(L5),4,900,15,23,18,18.8149,31.5635,22.9943,P,,T,,70,5,,,,,2502, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,911 TURBO,3.6,6,Manual(M6),4,900,16,23,18,19.7,32.4,23.9191,P,,T,,70,5,,,,,2502, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,911 TURBO CABRIOLET,3.6,6,Auto(L5),4,900,15,23,18,18.8149,31.5635,22.9943,P,,T,,70,5,,,,,2502, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,911 TURBO CABRIOLET,3.6,6,Manual(M6),4,900,15,24,18,19.2,32.8,23.6042,P,,T,,70,5,,,,,2502, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 CABRIOLET,3.6,6,Auto(L5),R,300,18,24,20,21.9858,33.7822,26.0846,P,,,,68,5,,,,,2250, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 CABRIOLET,3.6,6,Manual(M6),R,300,18,26,21,22.115,35.6576,26.6737,P,,,,68,5,,,,,2142, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 COUPE,3.6,6,Auto(L5),R,300,18,24,20,21.9858,33.7822,26.0846,P,,,,70,5,,,,,2250, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 COUPE,3.6,6,Manual(M6),R,300,18,26,21,22.115,35.6576,26.6737,P,,,,70,5,,,,,2142, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 S CABRIOLET,3.8,6,Auto(L5),R,400,17,24,20,21.8969,33.1953,25.8572,P,,,,68,5,,,,,2250, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 S CABRIOLET,3.8,6,Manual(M6),R,400,17,25,20,20.8496,34.2502,25.3049,P,,,,68,5,,,,,2250, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 S COUPE,3.8,6,Auto(L5),R,400,17,24,20,21.8969,33.1953,25.8572,P,,,,70,5,,,,,2250, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 2 S COUPE,3.8,6,Manual(M6),R,400,17,25,20,20.8496,34.2502,25.3049,P,,,,70,5,,,,,2250, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET,3.6,6,Auto(L5),4,300,17,24,19,21,32.8,25.0564,P,,,,68,5,,,,,2367, ,2MODE ,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET,3.6,6,Manual(M6),4,300,17,25,20,21.2368,34.2736,25.6226,P,,,,68,5,,,,,2250, ,,4,2,DERIVED
MINICOMPACT CARS,PORSCHE,CARRERA 4 COUPE,3.6,6,Auto(L5),4,300,17,24,19,21,33.2,25.1606,P,,,,70,5,,,,,2367, ,2MODE ,4,2,DERIVED
